id,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,package,promotion_last_5years,division,salary,satisfaction_level
13697,0.99,3,161.39,2,0,a,0,accounting,medium,0.681
1142,1,5,226.22,6,0,b,0,marketing,low,0.876
7954,0.91,5,199.45,2,0,e,0,sales,medium,0.955
2225,0.51,3,235.14,3,0,c,0,sales,low,0.817
9753,0.89,3,219.91,2,0,a,0,technical,low,0.92
8661,0.75,4,258.68,3,1,a,0,technical,low,0.49
10963,0.59,4,149.19,3,0,c,0,support,low,0.597
2761,0.85,3,146.21,3,0,a,0,sales,medium,0.629
14839,0.85,5,244.16,6,0,d,0,sales,low,0.713
14009,0.43,3,146.57,4,0,e,1,sales,medium,0.612
13735,0.48,4,155.6,7,0,e,0,product_mng,low,0.8
12106,0.99,4,259.67,5,0,d,0,accounting,medium,0.91
14279,0.86,5,224.35,5,1,b,0,product_mng,medium,0.756
11348,0.75,4,141.97,10,0,e,0,management,high,0.145
11233,0.85,4,143.15,2,0,a,0,support,low,0.698
3387,0.7,4,236.66,2,1,c,0,accounting,high,0.895
515,1,5,220.08,6,1,d,0,technical,low,0.879
11257,0.57,5,254.94,4,0,a,0,management,medium,0.766
14249,0.89,6,307.61,4,0,d,0,technical,low,0.12
1195,0.85,4,266.24,5,0,d,0,support,medium,0.804
7626,0.68,3,184.26,4,0,e,0,IT,low,0.702
430,0.66,5,196.16,6,0,b,0,support,low,0.894
2362,0.64,5,235.08,3,0,a,0,RandD,medium,0.964
4430,0.59,4,271.18,3,0,a,0,accounting,medium,0.511
11033,0.61,3,263.37,3,0,e,0,sales,low,0.748
3114,0.63,2,138,3,0,a,0,management,high,0.3
2197,0.79,4,149.89,2,0,a,0,IT,low,0.897
3268,0.63,4,170.66,2,0,e,0,IT,medium,0.742
7520,0.74,6,253.61,2,0,e,0,technical,low,0.906
11185,0.46,2,100.48,6,1,c,1,marketing,medium,0.566
7286,0.77,5,256.18,2,1,c,0,hr,low,0.873
12962,0.96,6,155.53,5,0,e,0,product_mng,medium,0.837
4540,0.86,4,159.92,3,0,a,1,technical,medium,0.531
14554,0.56,2,143.01,3,0,d,0,technical,medium,0.409
14510,0.84,5,251.54,5,0,d,0,product_mng,medium,0.739
4967,0.96,4,154.78,2,0,e,0,marketing,medium,0.879
14691,0.48,2,150.82,3,0,d,0,sales,low,0.367
14569,0.62,6,135.66,5,0,d,0,support,low,0.314
1494,0.74,3,189.17,4,0,b,0,technical,low,0.174
10175,0.75,3,120.56,4,0,a,0,sales,high,0.312
6280,0.48,4,259.74,4,1,a,0,sales,low,0.781
9085,0.61,5,264.94,3,0,e,0,support,low,0.851
1528,0.56,2,160.23,3,0,d,0,sales,low,0.412
2624,0.62,4,203.69,2,0,a,0,accounting,low,0.822
7125,0.51,5,257.74,4,1,e,0,sales,low,0.563
615,0.88,7,267.51,4,0,d,0,management,medium,0.1
5348,0.59,4,201.99,2,0,c,0,marketing,low,0.922
8209,0.79,4,262.88,3,0,c,0,technical,low,0.569
4283,0.95,4,191.78,3,0,e,0,marketing,medium,0.66
1879,0.53,2,143.6,3,0,d,0,support,low,0.429
12383,0.5,2,159.48,3,0,d,0,sales,medium,0.385
14712,0.58,5,161.38,5,0,d,0,technical,high,0.664
500,0.84,5,266.64,5,0,d,0,technical,medium,0.91
6028,0.94,3,288.84,5,0,e,0,RandD,high,0.217
12682,0.87,7,279.2,4,0,d,0,sales,low,0.108
6416,0.43,3,156.03,3,0,c,0,marketing,low,0.389
10750,0.63,2,145.15,2,0,c,0,product_mng,low,0.404
11940,0.74,3,172.51,10,0,e,1,management,high,0.526
4129,0.54,4,261.94,3,0,c,0,marketing,high,0.597
9123,0.49,4,173.21,3,0,a,0,technical,medium,0.624
7092,0.96,5,116.88,4,0,a,0,product_mng,low,0.289
4293,0.59,3,208.94,6,0,e,0,sales,high,0.402
6372,0.59,3,134.95,3,0,a,0,technical,medium,0.366
1627,0.57,2,147.07,3,0,d,0,sales,medium,0.38
6673,0.75,4,268.45,3,0,c,0,hr,medium,0.745
2524,0.67,5,129.98,5,0,a,0,marketing,medium,0.651
13164,0.76,3,171.17,3,0,c,0,technical,low,0.656
13370,0.61,5,274.67,3,0,e,0,management,medium,0.594
1354,0.92,7,275.68,4,0,b,0,technical,medium,0.094
11271,0.59,3,206.15,7,0,c,1,management,medium,0.568
12586,0.56,2,151.6,3,0,d,0,support,low,0.46
9227,0.8,5,279.41,4,0,e,0,product_mng,medium,0.171
12547,0.5,2,141.4,3,0,b,0,sales,low,0.376
10634,0.99,4,233.6,3,0,a,0,sales,high,0.563
13987,0.57,3,180.19,3,1,a,0,sales,low,0.759
14849,0.83,4,227.63,5,0,b,0,accounting,low,0.843
14473,0.56,2,131.45,3,0,b,0,hr,medium,0.44
12667,0.98,4,273.24,6,0,b,0,technical,low,0.92
3877,0.61,4,192.67,4,0,c,0,IT,low,0.644
1407,0.99,4,241.64,5,0,b,0,hr,low,0.812
11670,0.91,4,144.75,8,0,a,0,management,medium,0.501
8770,0.46,3,207.59,3,0,a,0,product_mng,medium,0.578
7321,0.73,3,267.91,3,0,c,0,product_mng,low,0.744
3711,0.49,4,164.43,3,0,e,0,support,low,0.589
9075,0.57,2,206.46,4,1,e,0,product_mng,medium,0.929
7939,0.59,3,239.13,3,0,c,0,support,high,0.507
6163,0.84,3,240.27,3,0,a,0,technical,low,0.735
7884,0.64,5,189.52,4,0,e,0,sales,high,0.629
6929,0.64,4,137.64,3,0,a,0,technical,low,0.669
8631,0.91,5,145.15,3,0,a,0,management,low,0.184
8354,0.7,3,159.94,3,0,c,0,hr,low,0.505
7057,0.96,4,207.55,3,0,a,0,hr,high,0.175
11827,0.68,4,174.44,3,0,e,0,sales,medium,0.524
14202,0.52,2,235.88,7,0,a,0,IT,medium,0.597
7710,0.77,4,257.25,3,0,e,0,accounting,low,0.655
13608,0.7,4,221.31,3,1,a,0,management,high,0.548
1096,0.45,2,129.61,3,0,d,0,accounting,low,0.367
13590,0.38,5,122.3,4,0,a,0,sales,low,0.641
3102,0.5,3,225.76,2,0,c,0,support,medium,0.969
4924,0.95,3,256.18,3,0,c,0,technical,medium,0.831
13012,0.77,4,275.41,2,0,e,0,technical,low,0.896
2590,0.9,2,133,4,0,a,0,RandD,low,0.685
13230,0.97,2,285.7,3,0,e,0,sales,high,0.785
13204,0.71,4,161.06,4,0,e,0,IT,low,0.803
8403,0.54,3,263.66,3,0,c,0,marketing,low,0.881
1156,0.52,2,156.81,3,0,d,0,sales,medium,0.399
8882,0.45,3,228.47,5,0,c,0,accounting,medium,0.247
6344,0.78,3,199.23,3,1,e,0,sales,low,0.627
10265,0.52,3,269.99,4,0,c,0,technical,low,0.445
941,0.56,2,137.66,3,0,d,0,sales,low,0.423
11272,0.57,4,161.87,7,0,a,1,management,medium,0.66
10125,0.66,4,174.5,2,0,e,0,support,medium,1
10871,0.47,3,135.51,3,1,c,0,hr,medium,0.583
8499,0.37,3,124.72,2,0,a,0,sales,medium,0.399
12774,0.51,2,152,3,0,b,0,sales,high,0.384
2738,0.42,6,219.32,2,0,c,0,product_mng,low,0.648
9230,0.76,5,181.89,3,0,e,0,RandD,medium,0.873
9944,0.42,3,219.25,2,0,c,0,sales,low,0.766
9670,0.61,2,257.62,6,1,a,0,support,low,0.335
9449,0.6,3,112.82,4,1,a,0,IT,low,0.413
792,0.83,5,259.76,5,0,b,0,accounting,low,0.893
8633,1,3,149.61,3,0,e,0,marketing,low,0.87
4582,0.51,2,211.85,2,0,e,0,accounting,medium,0.917
6589,0.63,3,234.11,3,1,a,0,sales,high,0.634
6412,0.77,4,140.46,5,0,c,0,accounting,medium,0.231
6413,0.6,3,224.4,3,0,c,0,support,medium,0.698
384,0.47,2,156.67,3,0,d,0,accounting,high,0.359
14263,0.55,2,138.56,3,0,d,0,support,low,0.38
2911,0.51,5,226.62,3,0,c,0,sales,medium,0.198
13432,0.47,3,203.03,6,0,c,0,technical,low,0.965
11161,0.82,4,253.41,3,1,c,0,IT,medium,0.692
4917,0.73,4,162.21,3,0,c,0,hr,low,0.821
11162,0.89,4,138.24,3,0,e,0,IT,medium,0.771
9964,0.75,5,187.3,2,1,c,0,technical,medium,0.606
6866,0.52,3,248,3,0,e,0,RandD,medium,0.888
4361,0.8,3,160.12,3,0,a,0,sales,medium,0.725
5419,0.94,3,204.4,4,0,a,0,marketing,low,0.739
9330,0.67,4,147.18,3,0,c,0,sales,low,0.885
2425,0.73,4,206.52,4,1,a,0,IT,low,0.902
13197,0.71,4,189.87,3,0,e,0,RandD,low,0.891
6583,0.94,3,205.75,2,1,c,0,sales,low,0.792
14975,0.79,7,310.36,4,0,b,0,hr,medium,0.098
14113,0.88,3,256.43,7,1,a,0,sales,medium,0.928
10163,0.6,3,248.44,2,0,c,0,sales,medium,0.891
47,0.7,3,274.28,6,0,d,0,support,low,0.57
13316,0.49,3,176.81,3,0,c,0,marketing,high,0.373
3125,0.79,4,222.07,3,0,a,0,RandD,low,0.838
12208,0.5,2,129.62,3,0,b,0,support,low,0.435
6130,0.71,4,161.79,2,0,c,0,sales,medium,0.499
12561,0.53,2,132.69,3,0,b,0,sales,low,0.366
12163,0.87,5,239.67,5,0,b,0,sales,low,0.792
4333,0.57,5,215.46,4,0,c,0,technical,low,0.673
2727,0.55,6,139.23,5,0,a,0,support,medium,0.147
6014,0.61,5,171.38,4,0,e,0,management,medium,0.908
5807,0.52,5,286.67,3,0,e,0,management,low,0.48
8820,0.88,4,174.61,6,0,c,0,technical,low,0.231
3232,0.96,3,223.86,4,0,c,0,sales,high,0.905
5005,0.6,2,192.83,4,0,c,0,technical,medium,0.126
12893,0.54,4,145.92,5,0,e,0,RandD,low,0.183
2457,0.53,5,149.74,3,0,a,0,sales,low,0.648
3486,0.67,4,229.4,4,0,a,0,support,low,0.855
3627,0.69,5,181.25,4,0,e,0,technical,low,0.186
8915,0.56,5,237.52,2,0,c,0,IT,low,0.563
11533,0.91,5,210.75,3,0,a,0,sales,low,0.592
3560,0.88,6,219.7,3,0,c,0,support,low,0.162
10682,0.54,4,144.78,5,0,c,0,RandD,low,0.184
1738,0.88,5,267.43,5,0,b,0,technical,medium,0.865
13577,0.79,5,219.06,2,0,c,0,sales,medium,0.762
3179,0.92,4,142.65,3,1,a,0,support,medium,0.593
13655,0.66,5,264.18,3,0,a,0,product_mng,medium,0.87
6937,0.96,4,171.41,2,0,e,0,product_mng,low,0.8
14106,0.42,2,110.54,6,0,e,0,sales,low,0.597
11350,0.61,3,149.61,10,0,c,0,management,high,0.528
13744,0.91,5,211.72,3,0,a,0,sales,low,0.597
5971,0.91,3,132.17,2,0,e,0,sales,medium,0.785
10796,0.56,4,186.16,4,1,a,0,technical,medium,1
9469,0.88,5,164.37,3,0,c,0,management,medium,0.159
8111,0.63,4,235.24,5,0,a,0,sales,medium,0.178
13699,0.53,3,215.81,7,1,a,0,technical,medium,0.702
10462,0.89,3,266.82,3,0,e,0,marketing,low,0.957
1160,0.73,4,276.66,2,0,b,0,sales,medium,0.367
5392,0.63,3,267.93,3,0,a,0,support,medium,0.885
2013,0.62,3,220.67,3,0,a,0,accounting,medium,0.741
2750,0.67,2,255.8,4,0,e,0,accounting,low,0.916
1895,0.88,5,240.8,5,0,b,0,IT,medium,0.872
371,0.51,2,136.54,3,0,d,0,IT,low,0.357
3331,0.94,4,270.92,3,1,e,0,support,low,0.844
8461,0.77,5,141.22,2,0,c,0,IT,medium,0.946
9756,0.57,3,221.54,3,1,a,0,IT,low,0.481
6058,0.59,5,172.64,2,0,c,0,accounting,medium,0.575
5148,0.62,5,198.92,2,0,e,0,technical,low,0.548
13629,1,2,238.28,5,1,c,0,product_mng,low,0.745
11764,0.65,3,236.53,10,0,a,0,technical,low,0.799
1355,0.95,5,222.38,5,0,d,0,technical,medium,0.82
3517,0.98,2,164.75,3,0,a,0,marketing,low,0.534
2954,0.96,5,140.42,3,0,a,0,support,medium,0.977
12193,0.82,6,249.26,4,0,b,0,technical,medium,0.092
13462,0.5,5,248.05,4,0,c,0,product_mng,medium,0.78
