ID,age,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default,balance,housing,loan,contact_cellular,contact_telephone,contact_unknown,day,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,duration,campaign,pdays,previous,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,y
25318,51,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,174,0,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,308,3,-1,0,0,0,0,1,-1
25319,32,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6059,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,110,2,-1,0,0,0,0,1,-1
25320,60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0,1,0,0,0,0,0,0,130,3,-1,0,0,0,0,1,-1
25321,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,64,0,0,1,0,0,30,0,0,0,0,0,0,1,0,0,0,0,0,598,4,105,5,1,0,0,0,-1
25322,41,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,368,4,-1,0,0,0,0,1,-1
25323,26,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-293,1,1,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,64,2,-1,0,0,0,0,1,-1
25324,37,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,405,1,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,51,2,-1,0,0,0,0,1,-1
25325,31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,117,1,0,0,1,0,18,0,0,0,0,0,1,0,0,0,0,0,0,41,1,-1,0,0,0,0,1,-1
25326,45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,424,1,1,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,216,5,-1,0,0,0,0,1,-1
25327,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1437,1,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,641,1,-1,0,0,0,0,1,-1
25328,53,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2578,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,958,2,-1,0,0,0,0,1,-1
25329,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,5731,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,164,2,167,4,0,1,0,0,-1
25330,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-152,1,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,36,3,-1,0,0,0,0,1,-1
25331,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,134,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,200,1,-1,0,0,0,0,1,-1
25332,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,8132,1,0,0,0,1,20,0,0,0,0,0,0,0,0,1,0,0,0,137,1,-1,0,0,0,0,1,-1
25333,37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,466,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,231,2,-1,0,0,0,0,1,-1
25334,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3848,1,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,222,2,-1,0,0,0,0,1,-1
25335,41,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1483,1,0,0,0,1,17,0,0,0,0,0,0,1,0,0,0,0,0,66,4,-1,0,0,0,0,1,-1
25336,46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,345,1,1,0,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,86,1,259,3,0,1,0,0,-1
25337,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,26,0,0,0,0,0,0,0,0,1,0,0,0,816,2,-1,0,0,0,0,1,-1
25338,29,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,201,1,0,1,0,0,27,0,0,0,0,0,0,0,1,0,0,0,0,101,12,-1,0,0,0,0,1,-1
25339,34,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,89,1,133,1,1,0,0,0,-1
25340,39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,880,1,0,0,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,29,1,-1,0,0,0,0,1,-1
25341,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,631,0,0,1,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,145,5,-1,0,0,0,0,1,-1
25342,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,775,1,-1,0,0,0,0,1,-1
25343,37,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,217,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,152,1,-1,0,0,0,0,1,-1
25344,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,88,1,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,121,18,-1,0,0,0,0,1,-1
25345,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,818,1,0,0,0,1,30,0,0,0,0,0,0,0,0,1,0,0,0,343,3,-1,0,0,0,0,1,-1
25346,50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1688,0,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,156,2,-1,0,0,0,0,1,-1
25347,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-81,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,267,1,-1,0,0,0,0,1,-1
25348,47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-245,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,91,1,-1,0,0,0,0,1,-1
25349,42,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-396,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,80,1,308,4,1,0,0,0,-1
25350,35,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,450,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,95,2,-1,0,0,0,0,1,-1
25351,48,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2877,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,77,1,168,1,1,0,0,0,-1
25352,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,332,1,0,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,339,2,369,3,1,0,0,0,-1
25353,57,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,334,1,0,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,169,2,365,2,1,0,0,0,-1
25354,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,668,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,156,2,318,1,0,1,0,0,-1
25355,47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,213,1,190,1,0,1,0,0,-1
25356,58,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2074,0,0,1,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,259,2,-1,0,0,0,0,1,-1
25357,58,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,4497,1,0,0,0,1,29,0,0,0,0,0,0,0,0,1,0,0,0,128,1,-1,0,0,0,0,1,-1
25358,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,486,0,0,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,335,3,-1,0,0,0,0,1,-1
25359,57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3927,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,61,1,-1,0,0,0,0,1,-1
25360,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,830,1,0,0,0,1,19,0,0,0,0,0,0,0,0,1,0,0,0,112,1,-1,0,0,0,0,1,-1
25361,33,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,680,1,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,265,1,-1,0,0,0,0,1,-1
25362,35,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3384,1,0,1,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,372,2,-1,0,0,0,0,1,-1
25363,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,-487,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1080,1,-1,0,0,0,0,1,-1
25364,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,0,18,0,0,0,0,0,0,0,0,1,0,0,0,40,8,349,6,1,0,0,0,-1
25365,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2549,1,0,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,246,3,-1,0,0,0,0,1,-1
25366,58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1112,1,0,0,1,0,20,1,0,0,0,0,0,0,0,0,0,0,0,21,3,-1,0,0,0,0,1,-1
25367,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1765,1,0,0,0,1,23,0,0,0,0,0,0,0,0,1,0,0,0,135,2,-1,0,0,0,0,1,-1
25368,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,224,1,0,1,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,875,2,-1,0,0,0,0,1,-1
25369,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,25,1,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,96,4,314,8,0,1,0,0,-1
25370,44,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,370,0,1,1,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,64,4,-1,0,0,0,0,1,-1
25371,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,188,1,206,2,0,1,0,0,-1
25372,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,596,1,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,151,6,-1,0,0,0,0,1,-1
25373,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,20,1,0,0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,431,1,-1,0,0,0,0,1,-1
25374,47,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1854,1,1,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,388,2,-1,0,0,0,0,1,-1
25375,39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1387,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,52,3,-1,0,0,0,0,1,-1
25376,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1138,0,0,1,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,283,18,-1,0,0,0,0,1,-1
25377,41,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,43,1,-1,0,0,0,0,1,-1
