ID,age,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown,default,balance,housing,loan,contact_cellular,contact_telephone,contact_unknown,day,month_apr,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,duration,campaign,pdays,previous,poutcome_failure,poutcome_other,poutcome_success,poutcome_unknown,y
1,43,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,291,1,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,150,2,-1,0,0,0,0,1,0
2,42,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5076,1,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,99,1,251,2,0,1,0,0,0
3,47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,104,1,1,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,77,2,-1,0,0,0,0,1,0
4,28,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-994,1,1,1,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,174,2,-1,0,0,0,0,1,0
5,42,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2974,1,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,187,5,-1,0,0,0,0,1,0
6,56,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,450,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,47,1,-1,0,0,0,0,1,0
7,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1716,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,157,4,-1,0,0,0,0,1,0
8,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-359,0,0,0,1,0,29,0,1,0,0,0,0,0,0,0,0,0,0,59,2,-1,0,0,0,0,1,0
9,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,309,1,1,1,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,99,3,-1,0,0,0,0,1,0
10,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4777,0,1,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,12,3,-1,0,0,0,0,1,0
11,54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1076,0,0,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,338,1,-1,0,0,0,0,1,0
12,59,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1035,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,126,2,239,1,1,0,0,0,0
13,48,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,473,0,1,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,198,2,-1,0,0,0,0,1,0
14,54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,159,2,-1,0,0,0,0,1,0
15,53,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8627,0,0,1,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,66,1,-1,0,0,0,0,1,0
16,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3516,1,0,0,0,1,29,0,0,0,0,0,0,0,0,1,0,0,0,447,4,-1,0,0,0,0,1,0
17,39,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,665,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,133,8,-1,0,0,0,0,1,0
18,39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,564,0,0,1,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,86,4,-1,0,0,0,0,1,0
19,59,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1449,1,1,1,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,437,2,-1,0,0,0,0,1,0
20,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,305,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,625,1,-1,0,0,0,0,1,0
21,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3967,1,0,1,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,859,1,182,1,1,0,0,0,0
22,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,122,5,-1,0,0,0,0,1,0
23,49,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,169,1,0,0,0,1,28,0,0,0,0,0,0,0,0,1,0,0,0,174,1,-1,0,0,0,0,1,0
24,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-507,1,1,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,404,2,-1,0,0,0,0,1,0
25,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,399,1,0,0,0,1,16,0,0,0,0,0,0,0,0,1,0,0,0,148,9,-1,0,0,0,0,1,0
26,43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,664,1,0,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,354,1,-1,0,0,0,0,1,0
27,38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,748,1,0,1,0,0,31,0,1,0,0,0,0,0,0,0,0,0,0,98,3,-1,0,0,0,0,1,0
28,35,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,787,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,49,1,-1,0,0,0,0,1,0
29,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1144,1,1,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,89,1,-1,0,0,0,0,1,0
30,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,858,1,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,173,1,-1,0,0,0,0,1,0
31,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,171,1,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,83,10,-1,0,0,0,0,1,0
32,41,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1143,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,134,1,8,2,0,1,0,0,0
33,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-106,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,258,4,-1,0,0,0,0,1,0
34,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6307,1,0,0,0,1,28,0,0,0,0,0,0,0,0,1,0,0,0,615,1,-1,0,0,0,0,1,0
35,43,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,430,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,44,2,-1,0,0,0,0,1,0
36,47,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,164,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,0,0,212,1,-1,0,0,0,0,1,0
37,59,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,544,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,67,2,-1,0,0,0,0,1,0
38,43,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1450,1,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,227,2,-1,0,0,0,0,1,0
39,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1129,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,452,2,-1,0,0,0,0,1,0
40,55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-157,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,354,5,-1,0,0,0,0,1,0
41,56,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,778,0,0,0,0,1,20,0,0,0,0,0,0,1,0,0,0,0,0,32,4,-1,0,0,0,0,1,0
42,57,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,127,1,363,4,1,0,0,0,0
43,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,43,2,-1,0,0,0,0,1,0
44,48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,794,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,135,6,-1,0,0,0,0,1,0
45,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1372,0,0,1,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,230,1,-1,0,0,0,0,1,0
46,46,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,778,1,0,0,0,1,19,0,0,0,0,0,0,0,0,1,0,0,0,579,1,-1,0,0,0,0,1,0
47,54,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,154,0,0,0,0,1,9,0,0,0,0,0,0,0,0,1,0,0,0,155,3,-1,0,0,0,0,1,0
48,57,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,44,1,-1,0,0,0,0,1,0
49,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,200,5,-1,0,0,0,0,1,0
50,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,717,1,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,0,0,42,1,-1,0,0,0,0,1,0
51,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,896,1,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,577,1,-1,0,0,0,0,1,0
52,53,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,68,1,-1,0,0,0,0,1,0
53,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,86,0,0,1,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,48,4,-1,0,0,0,0,1,0
54,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1135,1,0,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,396,3,-1,0,0,0,0,1,0
55,31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1243,1,0,0,0,1,21,0,0,0,0,0,0,0,0,1,0,0,0,32,1,-1,0,0,0,0,1,0
56,61,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3738,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,188,1,-1,0,0,0,0,1,0
57,61,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,122,3,-1,0,0,0,0,1,0
58,48,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2204,1,0,1,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,45,1,-1,0,0,0,0,1,0
59,54,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,-939,1,0,0,0,1,29,0,0,0,0,0,0,0,0,1,0,0,0,202,1,-1,0,0,0,0,1,0
60,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1924,1,0,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,285,1,-1,0,0,0,0,1,0
61,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-426,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,139,2,-1,0,0,0,0,1,0
62,56,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,382,0,0,0,0,1,27,0,0,0,0,0,0,1,0,0,0,0,0,244,2,-1,0,0,0,0,1,0
63,53,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,112,0,1,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,246,3,-1,0,0,0,0,1,0
64,50,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,-210,0,1,1,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,153,7,-1,0,0,0,0,1,0
65,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,76,1,0,0,0,1,19,0,0,0,0,0,0,0,0,1,0,0,0,345,1,-1,0,0,0,0,1,0
66,43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-67,1,0,0,1,0,15,0,0,0,0,0,0,0,0,1,0,0,0,137,7,371,1,1,0,0,0,0
67,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,239,1,0,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,101,2,-1,0,0,0,0,1,0
68,26,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,278,1,1,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,1467,1,-1,0,0,0,0,1,0
69,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,777,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,263,1,-1,0,0,0,0,1,0
70,55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1633,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,128,1,-1,0,0,0,0,1,0
71,29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,85,1,0,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,76,2,-1,0,0,0,0,1,0
72,30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,451,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,173,1,274,3,1,0,0,0,0
73,50,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,938,0,0,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,148,2,98,1,0,0,1,0,0
74,31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3739,0,0,1,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,117,3,-1,0,0,0,0,1,0
75,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,29,0,0,0,0,0,1,0,0,0,0,0,0,153,4,-1,0,0,0,0,1,0
76,42,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,419,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,198,2,-1,0,0,0,0,1,0
77,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,311,1,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,205,1,351,2,1,0,0,0,0
78,42,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,737,1,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,762,2,-1,0,0,0,0,1,0
79,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,180,1,0,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,804,1,-1,0,0,0,0,1,0
80,43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,313,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,155,2,-1,0,0,0,0,1,0
81,49,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4455,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,140,1,-1,0,0,0,0,1,0
82,47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2466,1,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,142,2,-1,0,0,0,0,1,0
83,36,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-825,0,0,0,0,1,27,0,0,0,0,0,0,0,0,1,0,0,0,95,1,-1,0,0,0,0,1,0
84,38,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,-199,1,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,15,3,-1,0,0,0,0,1,0
85,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,23,0,0,0,0,0,1,0,0,0,0,0,0,487,5,-1,0,0,0,0,1,0
86,53,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,-233,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,133,3,-1,0,0,0,0,1,0
87,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,-228,1,1,1,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,38,1,362,2,1,0,0,0,0
88,31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,54,1,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,239,6,-1,0,0,0,0,1,0
89,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1283,1,0,0,0,1,20,0,0,0,0,0,0,0,0,1,0,0,0,209,1,-1,0,0,0,0,1,0
90,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,635,0,0,1,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,56,1,-1,0,0,0,0,1,0
91,41,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,787,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,297,2,-1,0,0,0,0,1,0
92,54,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2272,1,0,0,1,0,19,0,0,0,0,0,0,0,0,0,1,0,0,88,1,189,1,1,0,0,0,0
93,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,576,1,1,1,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,114,3,-1,0,0,0,0,1,0
94,36,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,94,1,-1,0,0,0,0,1,0
95,45,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,-158,1,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0,0,0,340,1,-1,0,0,0,0,1,0
96,31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2050,1,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,271,5,-1,0,0,0,0,1,0
97,42,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,1,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,853,1,-1,0,0,0,0,1,0
98,51,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5206,1,0,1,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,168,3,-1,0,0,0,0,1,0
99,39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,616,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,170,1,-1,0,0,0,0,1,0
100,52,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,411,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,180,3,200,10,0,1,0,0,0
101,32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,367,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,214,2,276,3,1,0,0,0,0
102,32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,182,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,277,1,169,2,1,0,0,0,0
103,34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,748,1,1,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,161,1,-1,0,0,0,0,1,0
104,31,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,625,1,0,1,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,137,3,-1,0,0,0,0,1,0
105,43,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,73,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,182,2,-1,0,0,0,0,1,0
106,33,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,17,0,0,0,0,0,0,0,0,0,1,0,0,809,3,181,1,0,1,0,0,0
107,26,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,755,1,0,0,0,1,28,0,0,0,0,0,0,0,0,1,0,0,0,61,1,-1,0,0,0,0,1,0
108,46,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,1,17,0,0,0,0,0,0,1,0,0,0,0,0,110,2,-1,0,0,0,0,1,0
109,43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-63,1,0,0,0,1,12,0,0,0,0,0,0,0,0,1,0,0,0,160,4,-1,0,0,0,0,1,0
110,35,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,533,1,0,0,0,1,6,0,0,0,0,0,0,0,0,1,0,0,0,802,1,-1,0,0,0,0,1,0
111,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,166,1,0,1,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,227,1,-1,0,0,0,0,1,0
112,58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,63,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,509,1,-1,0,0,0,0,1,0
113,53,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,243,1,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,66,2,-1,0,0,0,0,1,0
114,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2004,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,117,1,-1,0,0,0,0,1,0
115,74,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4912,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,1,0,129,3,-1,0,0,0,0,1,0
116,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,234,1,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,139,1,345,1,0,1,0,0,0
117,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2146,1,0,0,0,1,13,0,0,0,0,0,0,0,0,1,0,0,0,138,1,-1,0,0,0,0,1,0
118,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1911,1,0,1,0,0,31,0,0,0,0,0,1,0,0,0,0,0,0,74,4,-1,0,0,0,0,1,0
119,60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,614,0,0,1,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,50,3,-1,0,0,0,0,1,0
120,52,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,82,2,-1,0,0,0,0,1,0
